SPIELER,TORE,7M,%,TF,V,2',D
Zuege Tim,0,0,,,0,0,0
Forrer Steven,1/2,0,50,2,0,0,0
Kiener Lars,1/1,0,100,2,0,0,0
Ruef Mauro,1/2,0,50,,0,0,0
Stettler Nils,1/2,0,50,,0,0,0
Lutz Nico,3/3,0,100,,0,0,0
Wyttenbach Ivan,2/3,0,66,1,0,0,0
Lory Elias,0/1,0,0,,0,0,0
Christinat Joël,4/7,0,57,1,0,2,0
Scheidegger Roman,1/1,0,100,2,0,0,0
Schöni Gregory,0/1,0,0,,0,1,0
Drollinger Yannick,2/4,0,50,4,0,0,0
Stettler Jan,0,0,,,0,0,0
Manse Cedric,4/7,2/2,57,1,0,1,0
Recher Jan,1/3,0,33,,0,0,0
Brenzikofer André,0,0,,,0,0,0
