So,23.04.23,14:00
MU17E
SG,LakeSide,Wacker-Steffisburg
KADER,TORE,7M,%,TF,V,2',D
1,LEUENBERGER,Timon,0,0,,1,0,0,0
2,LIECHTI,Björn,0,0,,2,1,0,0
3,MARTHALER,Wanja,4/4,0,100,,0,0,0
4,CAVIEZEL,Tim,5/6,0,83,2,0,0,0
6,DÄHLER,Nicolas,0/1,0,0,1,0,0,0
7,CALARESU,Noè,0/1,0,0,,0,0,0
9,KNÖRI,Niklas,4/5,0,80,,0,0,0
10,WABER,Gian,3/5,0,60,2,0,0,0
13,CASPAR,Simon,4/5,0,80,1,0,0,0
15,FRISCHKNECHT,Lasse,3/6,0,50,,0,0,0
16,HODLER,Fynn,0,0,,1,0,0,0
21,NEIGER,Dominic,10/12,3/3,83,1,0,2,0
22,STRIKCANI,Artan,0,0,,,0,0,0
25,MARTHALER,Ivan,1/1,0,100,4,0,0,0
""
GOALIE,P/W,7M,%
1,LEUENBERGER,Timon,3/14,,22
16,HODLER,Fynn,14/36,0/2,39
""
STAFF,V,2',D
A,CASPAR,Adrian,0,0,0
B,DÄHLER,Sandro,0,0,0
